Sr No,Raga Name,Archive No.,Audio_Number,Remarks,Artist Hindustani Music,Artist Others,Singer,Instrument,Vocals,Type,Accompanist,Raga,Tala,Bol,Gharana,Doha,Kaand,Compositions,Occasion,Participants,Director,Producer,Composer,Narrator,Lyricist,Episode,First Line of Song,Items,State / Region,Performers Conductor,Creation Date,Modification Date,Modified By,Track Count,Track Version Count,number of 30 second files,,
130,Darbari,IN-AIR-DSA-GT-M00-023900,10736-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY ASLAM KHAN,ASLAM HUSSAIN KHAN (VOCAL),,ASLAM HUSSAIN KHAN,,,Vocal," TABLA-  ANISH PRADHAN,   HARMONIUM-  SUDHIR NAYAK",DARVARI (NIGHT),TEEN TAL,GARAV NA KIJIYE,,,,,RAVIVASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,PART 01,GARAV NA KIJIYE,,MUMBAI,,07-05-2015 14:54,07-05-2015 14:54,Ingest,1,1,101,,
131,Darbari_kanada,IN-AIR-DSA-GT-M00-024050,11226-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY SHRI BALACHANDRA NAKOD,BALACHANDRA NAKOD (VOCAL),,SHRI BALACHANDRA NAKOD,,,Vocal," TABLA-  SHRI RAGHAVENDRA NAKOD,   HARMONIUM-  DR. PANCHAKSHARI, HIREMATH,  VIOLIN- SHRI SHANKAR T.KABADI",DARVARI KANADA (NIGHT),EK TAL,AUR NAHIN KACHU KAAM,,,,,RAVIVASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,PART 01,AUR NAHIN KACHU KAAM,,DHARWAD,,18-05-2015 14:37,18-05-2015 14:37,Ingest,1,1,55,,
132,Darbari_kanada,IN-AIR-DSA-GT-M00-025044,11075-1-1.wav,"HINDUSTANI CLASSICAL VOCAL BY K. V. NANDA KUMAR,CUT- 01",,,K.V. NANDA KUMAR,,VOCAL RECITAL,Vocal," TABLA-  PT.  RAVINDRA YAVGAL ,  VIOLIN-   C.N. CHANDRA SHEKHAR ,  HARMONIUM-  DR. RAVINDRA KATOTI",DARVARI KANADA (NIGHT),JHAPTAL,,,,,,,,,,,,,PART 1,,,BANGALORE,,14-05-2015 14:35,14-05-2015 14:35,Ingest,1,1,60,,
133,Des,IN-AIR-DSA-GT-M00-024548,12295-1-1.wav,"HINDUSTANI CLASSICAL VOCAL BY AMIT MUKHERJEE, CUT- 02",,,AMIT MUKHERJEE,,VOCAL RECITAL,Vocal,"TABLA-  GOPAL MASHR,  HARMONIUM-  HIRANMOY MITRA",DES (NIGHT),TEEN TAL,KARAM MORE JAGE AAJ MAHARAJ,,,,,RAVI VASARIYA AKHIL BHARTIYA SANGEET SAMMELAN,,,,,,,,,,DELHI,,08-06-2015 14:13,08-06-2015 14:13,Ingest,1,1,21,,
134,Des,IN-AIR-DSA-GT-M00-024481,12012-1-1.wav,"HINDUSTANI CLASSICAL VOCAL BY MASHKOOR ALI KHAN, CUT- 03",MASHQOOR ALI KHAN (VOCAL),,MASHKOOR ALI KHAN,,VOCAL RECITAL,Vocal," TABLA-  USTAD. JAAFAR MD. KHAN,   HARMONIUM-  SUDHANSHU KULKARNI  SARANGI- SARVAR HUSSAIN",DES (NIGHT),TEEN TAL,MEGH BARAS RE ABHI RE MEHARVA,,,,,AKASHWANI SANGEET SAMMELAN(SPECIAL PROGRMME OF MUSIC),,,,,,,,,,DELHI,,03-06-2015 16:27,03-06-2015 16:27,Ingest,1,1,23,,
135,Basant_kedar,IN-AIR-DSA-GT-M00-023897,10723-1-1.wav,"HINDUSTANI CLASSICAL VOCAL BY NILAKSHI ZUVEKAR, PART- 01",,,NILAKSHI ZUVEKAR,,,Vocal," TABLA-  ONKAAR GALVARI,   HARMONIUM-  ANANTH JOSHI",BASANT KEDAR (NIGHT),TEEN TAL,ATTAR SUGANDH,,,,,RAVIVASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,PART 01,ATTAR SUGANDH,,MUMBAI,,07-05-2015 12:25,07-05-2015 12:25,Ingest,1,1,25,,
136,Des,IN-AIR-DSA-GT-M00-024282,12037-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY MEETA PANDIT,,,MEETA  PANDIT,,,Vocal," TABLA-  PRASUN CHATTERJEE,  SARANGI- MURAD ALI,  HARMONIUM-  MEHMOOD DHOLPURI",DES (NIGHT),,AO PANGHAT PE JAMUNA KE TAT PE,,,,BHAJAN,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 03,AO PANGHAT PE JAMUNA KE TAT PE,,DELHI,,04-06-2015 11:18,04-06-2015 11:18,Ingest,1,1,32,,
137,Nayaki_kanada,IN-AIR-DSA-GT-M00-027012,14873-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY APARNA PANSHIKAR,,,APARNA PANSHIKAR,,VOCAL RECITAL,Vocal," TABLA-   SALEEM ALLAH WALE,   HARMONIUM-   ZAMEER KHAN",NAYAKI KANADA (NIGHT),ROOPAK,MERO PIYA,,,,,AKASHVANI SANGEET SAMMELAN-2013,,,,,,,PART 02,MERO PIYA,,UTTAR PRADESH,,03-08-2015 11:29,03-08-2015 11:29,Ingest,1,1,38,,
138,Hansdhwani,IN-AIR-DSA-GT-M00-027044,14987-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY PARMESHWAR HEGDE,PARMESHWAR HEGDE (VOCAL),,PARMESHWAR HEGDE,,VOCAL RECITAL,Vocal," TABLA-   GOPAL KRISHAN HEGDE,   HARMONIUM-   DR. SHUDHANSHU KULKARNI",HAMSADHVANI (),ROOPAK,,,,,,AKASHVANI SANGEET SAMMELAN-2013,,,,,,,PART 02,,,GUJARAT,,04-08-2015 14:34,04-08-2015 14:34,Ingest,1,1,47,,
139,Bageshri_kanada,IN-AIR-DSA-GT-M00-024794,13174-1-1.wav,"HINDUSTANI CLASSICAL VOCAL BY GAJENDRA BAKSHI, CUT- 01",GAJENDRA BAXI (VOCAL)	,,GAJENDRA BAKSHI,,VOCAL RECITAL,Vocal," TABLA-  MAHENDI HASAN A. KHAN,  HARMONIUM-   NIRANJAN LELE, TANPURA-  FIROZ KHAN",BAGESHRI KANADA (NIGHT),JHOOMRA,GORE GORE MUKH,,,,VILAMBIT &DRUT GAT,NATIONAL PROGRAMME OF MUSIC,,,,,,,,,,RAJKOT,,22-06-2015 12:05,22-06-2015 12:05,Ingest,1,1,49,,
140,Darbari_kanada,IN-AIR-DSA-GT-M00-027009,14868-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY GIRISH CHATTOPADHYAY,,,GIRISH CHATTOPADHYAY`,,VOCAL RECITAL,Vocal," TABLA-  ASIT KUMAR JANA,  HARMONIUM-  HIRANMOY MITRA",DARVARI KANADA (NIGHT),EK TAL,"MUBARAKHVA DIYA, AAJ NANDLAL SAKHI PREM MAD PI",,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 01,"MUBARAKHVA DIYA, AAJ NANDLAL SAKHI PREM MAD PI",,WEST BENGAL,,03-08-2015 11:01,03-08-2015 11:01,Ingest,1,1,67,,
141,Jog,IN-AIR-DSA-GT-M00-022166,8227-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY GANAPATHI BHAT HASANAGI PART 01,,,GANAPATHI BHAT HASANAGI,,,Vocal,"TABLA-  PRASUN CHATTERJEE,  HARMONIUM- MOHAN MUNGRE",JOG (NIGHT),TEEN TAL,JIYARA MANTA NAHI,,,,,AKASHVANI SANGEET SAMMELAN-2012,"TABLA-  PRASUN CHATTERJEE,  HARMONIUM- MOHAN MUNGRE",,,,,,PART 01,,,BANGALORE,,10-02-2015 12:03,10-02-2015 12:03,Ingest,1,1,79,,
142,Basant_bhairav,IN-AIR-DSA-GT-M00-032439,14147-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY ASLAM KHAN,,,,,,,,N/A (),TEEN TAL,SUN ODHO MADHAV KE & JAI JAI PITA PARMANAND DATA,,,,,,,,,,,,CUT-02,,,,,14-07-2015 15:06,14-07-2015 15:06,Ingest,1,1,14,,
143,Shivmat_bhairav,IN-AIR-DSA-GT-M00-032433,14126-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY ASLAM KHAN,,,,,,Vocal,,SHIVMATT BHAIRAV (MORNING),EK TAL,AE RI MAI MAINE APNO SHIV PAYO & TUM BIN KAUN HARE DUKH MERE.,,,,,,,,,,,,CUT-05,,,,,14-07-2015 12:15,14-07-2015 12:15,Ingest,1,1,17,,
144,Aheer_bhairav,IN-AIR-DSA-GT-M00-032432,14124-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY ASLAM KHAN,,,,,,Vocal,,AHEER BHAIRAV (MORNING),ROOPAK,"MERO RAB, RAB KO SAB & RAB KO PECHAAN.",,,,,,,,,,,,CUT-04,,,,,14-07-2015 12:12,14-07-2015 12:12,Ingest,1,1,17,,
145,Des,IN-AIR-DSA-GT-M00-024041,11200-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY USTAD GHULAM SADIQ KHAN,GHULAM SADIQ KHAN (VOCAL),,USTAD GHULAM SADIQ KHAN,,,Vocal,,DES (NIGHT),TEEN TAL,KARAM KAR DIJIYE,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 02,KARAM KAR DIJIYE,,DELHI,,18-05-2015 12:09,18-05-2015 12:09,Ingest,1,1,19,,
146,Durga,IN-AIR-DSA-GT-M00-024319,12182-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY USTAD GHULAM SADIQ KHAN,GHULAM SADIQ KHAN (VOCAL),,USTAD GHULAM SADIQ KHAN,,,Vocal," TABLA-  NAFEES AHMED,   HARMONIUM-  JAIRAM POTDAR,  TANPURA- SUBHASH DIXIT & DURGA SHARMA",DURGA (NIGHT),TEEN TAL,ROOP JOBAN GUN DHARO HI REHAT HAI,,,,,AKASHWANI SANGEET SAMMELAN- 2010 (SPECIAL PROGRAMME OF MUSIC),,,,,,,PART 02,ROOP JOBAN GUN DHARO HI REHAT HAI,,JALANDHAR,,05-06-2015 14:40,05-06-2015 14:40,Ingest,1,1,25,,
147,Rageshree,IN-AIR-DSA-GT-M00-032364,13878-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY SUHAS VYAS,,,,,,Vocal, TABLA-   OMKAR GULWADI  HARMONIUM-  SHRI PURSHOTAM BALAVALKAR,RAGESHRI (NIGHT),EK TAL,"MERO MAN LAGO, UTARO NAZARIYA.",,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,CUT-01,,,,,08-07-2015 15:00,08-07-2015 15:00,Ingest,1,1,59,,
148,Paraj,IN-AIR-DSA-GT-M00-024928,13061-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY MANGALA JOSHI,,,MANGALA JOSHI,,N,Vocal," TABLA-  MANAMOHAN KUMBHARE,   HARMONIUM-  TUKARAM BUGAD,  TANPURA- HRISHIKESH BODAS",PARAJ (NIGHT),JHAPTAL,LAAL AAYE,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 02,LAAL AAYE,,SANGLI,,18-06-2015 12:50,18-06-2015 12:50,Ingest,1,1,36,,
149,Gaud_malhar,IN-AIR-DSA-GT-M00-024191,11698-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY SMT. KALPANA JHOKARKAR,,,SMT. KALPANA JHOKARKAR,,,Vocal," HARMONIUM-  SHRI CHAITANYA KUNTE, TABLA-  SHRI ULLHAS RAJ HANS",GAUD MALHAR (NIGHT),TEEN TAL,PAPI DADURVA & AFTER TARANA,,,,,AKASHWANI SANGEET SAMMELAN OCTOBER 2009 (SPECIAL PROGRAMME OF MUSIC),,,,,,,PART 02,PAPI DADURVA & AFTER TARANA,,MATHURA,,27-05-2015 12:10,27-05-2015 12:10,Ingest,1,1,38,,
150,Gaud_malhar,IN-AIR-DSA-GT-M00-024351,12291-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY MOHAN LAL MISRA,,,MOHAN LAL MISRA,,,Vocal," TABLA-  PT.SOHANLAL MISHRA,   HARMONIUM-  RUPOSHRI BHATTACHARYA",GAUD MALHAR (NIGHT),EK TAL,BARSE MEHARWA,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 02,BARSE MEHARWA,,KOLKATA,,08-06-2015 14:06,08-06-2015 14:06,Ingest,1,1,41,,
151,Gaud_malhar,IN-AIR-DSA-GT-M00-024841,12820-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY NEELA M. KODLI,,,NEELA M. KODLI,,,Vocal," TABLA-   VISHWANATH NAKOD,   HARMONIUM-   VASANT KANAKAPUR",GAUD MALHAR (NIGHT),TEEN TAL,MANAN KARI,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 02,MANAN KARI,,DHARWAD,,15-06-2015 15:41,15-06-2015 15:41,Ingest,1,1,41,,
152,Gaud_malhar,IN-AIR-DSA-GT-M00-024216,11808-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY DINKAR KENKINI,DINKAR KAIKINI (VOCAL),,DINKAR KENKINI,,,Vocal,,GAUD MALHAR (NIGHT),TEEN TAL,BALMA BAHAR AYEE,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 01,BALMA BAHAR AYEE,,DELHI,,01-06-2015 12:53,01-06-2015 12:53,Ingest,1,1,56,,
153,Gaud_sarang,IN-AIR-DSA-GT-M00-024325,12205-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY ARUN KASHALKAR,ARUN KASHALKAR (VOCAL),,ARUN KASHALKAR,,,Vocal," TABLA-  JAYANT NAYK,   HARMONIUM-  JAYANT PHARKE",GAUD SARANG (AFTERNOON),ROOPAK,NA MARO PICHKARI,,,,KHAYAL,SPECIAL PROGRAMME OF MUSIC,,,,,,,PART 02,NA MARO PICHKARI,,DELHI,,05-06-2015 15:26,05-06-2015 15:26,Ingest,1,1,32,,
154,Nat_bhairav,IN-AIR-DSA-GT-M00-032434,14127-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY ASLAM KHAN,,,,,,Vocal,,NAT BHAIRAV (MORNING),EK TAL,ARE MAN MURAK JANAM & NAAM RATAT HOON,,,,,,,,,,,,CUT-06,,,,,14-07-2015 12:18,14-07-2015 12:18,Ingest,1,1,18,,
155,Gavati,IN-AIR-DSA-GT-M00-024156,11596-1-1.wav,HINDUSTANI CLASSICAL VOCAL DUET BY RAJESH MISHR AND GEETESH MISHR,,,RAJESH MISHR AND GEETESH MISHR,,,Vocal Duet," TABLA-  SUDHIR PANDEY,   HARMONIUM-  VINAY MISHR,  SARANGI- BHARAT BHUSHAN",GAVATI (NIGHT),TEEN TAL,,,,,TARANA,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 02,,,DELHI,,26-05-2015 10:45,26-05-2015 10:45,Ingest,1,1,31,,
156,Gavati,IN-AIR-DSA-GT-M00-024731,12921-1-1.wav,"HINDUSTANI CLASSICAL VOCAL BY SUSHRI. VIRAJ AMAR, CUTA- 01",,,SUSHRI. VIRAJ AMAR,,VOCAL RECITAL,Vocal, TABLA-   VINOD VAISHNAV  SARANGI-  ALLAH RAKHA KALAWANT  HARMONIUM-  JAYANT PHARKE,GAVATI (NIGHT),TEEN TAL,AB SUDH LO MORI SHYAM,BANARAS,,,VILAMBIT &DRUT GAT,RAVI VASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,,,,DELHI,,16-06-2015 16:10,16-06-2015 16:10,Ingest,1,1,58,,
157,Gorakh_kalyan,IN-AIR-DSA-GT-M00-027007,14833-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY SARATHI CHATTERJI,SARATHI CHATTERJI (VOCAL),,SARATHI CHATTERJI,,VOCAL RECITAL,Vocal," TABLA-   SHAILENDRA MISHRA,   HARMONIUM-   PAROMITHA MUKERJEE",GORAKH KALYAN (NIGHT),TEEN TAL,"ANNI THANNI AAILA, HUM SURAN KE RAHE PUJARI",,,,,AKASHVANI SANGEET SAMMELAN-2013,,,,,,,PART 02,"ANNI THANNI AAILA, HUM SURAN KE RAHE PUJARI",,HIMACHAL PRADESH,,31-07-2015 15:21,31-07-2015 15:21,Ingest,1,1,49,,
158,Abhogi,IN-AIR-DSA-GT-M00-027048,14994-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY MAHENDRA TOKE,,,MAHENDRA TOKE,,VOCAL RECITAL,Vocal," TABLA-   UDAY RAJHANSH,   HARMONIUM-   CHAITANYA KUNTE",ABHOGI (NIGHT),,,,,,,AKASHVANI SANGEET SAMMELAN,,,,,,,PART 02,,,MAHARASHTRA,,04-08-2015 14:50,04-08-2015 14:50,Ingest,1,1,41,,
159,Gorakh_kalyan,IN-AIR-DSA-GT-M00-024109,11459-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY DR. KALYANI DESHMUKH,KALYANI DESHMUKH (VOCAL),,DR. KALYANI DESHMUKH,,,Vocal," TABLA-  SANDESH POPPATKAR,   HARMONIUM-  JAYRAM POTDAR,  TANPURA- RAJENDRAZOHRAPURKAR",GORAKH KALYAN (NIGHT),EK TAL,DHAN DHAN BHAG,,,,,RAVIVARSIYA AKHIL BHARTYA SANGEET SABHA (NATIONAL PROGRAMME OF MUSIC),,,,,,,PART 01,DHAN DHAN BHAG,,NAGPUR,,21-05-2015 14:43,21-05-2015 14:43,Ingest,1,1,70,,
160,Jaijaiwanti,IN-AIR-DSA-GT-M00-024829,13277-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY JAYASHREE PATNEKAR,JAYSHREE PATNEKAR (VOCAL),,JAYASHREE PATNEKAR,,VOCAL RECITAL,Vocal, TABLA-  PT. RAGUNATH NAKOD   HARMONIUM-   DR. SUDHANSHU KULKARNI,JAIJAIWANTI (NIGHT),JHAPTAL,PAYAL BAAJE MORE,,,,VILAMBIT &DRUT GAT,NATIONAL PROGRAMME OF MUSIC,,,,,,,,,,DHARWAD,,24-06-2015 11:05,24-06-2015 11:05,Ingest,1,1,48,,
161,Shyam_kalyan,IN-AIR-DSA-GT-M00-032400,13993-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY PT. YASHPAL,,,,,,Vocal,,SHYAM KALYAN (NIGHT),TEEN TAL,JA RE JA RE KAGWA HAMARE PIYA KE DESHWA,,,,,SPECIAL RECORDING FOR AIR,,,,,,,CUT-09,,,,,10-07-2015 11:13,10-07-2015 11:13,Ingest,1,1,9,,
162,Bhopali,IN-AIR-DSA-GT-M00-025007,13265-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY ADITYA KHANDWE,,,ADITYA KHANDWE,,,Vocal,"TABLA-  RAM DAS PARSULE,  HARMONIUM-  SHRI RAM HASABNIS",BHOOP (NIGHT),,,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 01,,,PUNE,,23-06-2015 15:58,23-06-2015 15:58,Ingest,1,1,86,,
163,Gavati,IN-AIR-DSA-GT-M00-032484,14361-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY PRAKASH SANGEET,PRAKASH SANGEET (VOCAL),,,,,Vocal, TABLA-   VISHWANATH SHIRODKAR   HARMONIUM-   SMT. SEEMA SHIRODKAR,GAVATI (NIGHT),EK TAL,MORE MANN LAGO,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,CUT-01,,,,,22-07-2015 15:17,22-07-2015 15:17,Ingest,1,1,92,,
164,Hameer,IN-AIR-DSA-GT-M00-024226,11827-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY ANIRUDH BHATTACHARYA,,,ANIRUDH BHATTACHARYA,,,Vocal," TABLA-  SATYAVRAT CHATTERJEE,   HARMONIUM-  AMITABH BHATTACHARYA",HAMEER (NIGHT),TEEN TAL,MATHNA MUDHARNA BHAIE,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 02,MATHNA MUDHARNA BHAIE,,KOLKATA,,01-06-2015 14:40,01-06-2015 14:40,Ingest,1,1,25,,
165,Hameer,IN-AIR-DSA-GT-M00-024318,12168-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY USTAD GHULAM SADIQ KHAN,GHULAM SADIQ KHAN (VOCAL),,USTAD GHULAM SADIQ KHAN,,,Vocal," TABLA-  NAFEES AHMED,   HARMONIUM-  JAIRAM POTDAR,  TANPURA- SUBHASH DIXIT & DURGA SHARMA",HAMEER (NIGHT),EK TAL,MORA RE ALBELA MEET PEEHARWA,,,,KHAYAL,AKASHVANI SANGEET SAMMELAN-2010 (SPECIAL PROGRAMME OF MUSIC),,,,,,,PART 01,MORA RE ALBELA MEET PEEHARWA,,JALANDHAR,,05-06-2015 13:20,05-06-2015 13:20,Ingest,1,1,70,,
166,Hameer,IN-AIR-DSA-GT-M00-024029,11148-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY AJAY CHAKRAVARTY,AJAY CHAKRAVARTY (Pundit) (VOCAL),,AJAY CHAKRAVARTY,,,Vocal," TABLA-   SAMAR SAHA,   HARMONIUM-  ROOPA BHATTACHARYA",HAMEER (NIGHT),JHOOMRA,SOUN HAMARI PREET LAGI UN,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 01,SOUN HAMARI PREET LAGI UN,,DELHI,,15-05-2015 12:36,15-05-2015 12:36,Ingest,1,1,80,,
167,Todi (ahiri),IN-AIR-DSA-GT-M00-032435,14129-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY ASLAM KHAN,,,,,,Vocal,,AHEERI TODI (MORNING),EK TAL,HAZRAT ALI GHAR AANAD & AB TO RAKH JIYE HAMARI,,,,,,,,,,,,CUT-07,,,,,14-07-2015 12:21,14-07-2015 12:21,Ingest,1,1,19,,
168,Hansdhwani,IN-AIR-DSA-GT-M00-024147,11551-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY SHRI ARNAB CHATTERJEE,,,SHRI ARNAB CHATTERJEE,,,Vocal," TABLA-  SHRI SUBHANKAR BANERJEE,   HARMONIUM-  SHRI SOHAN LAL  SHARMA",HANSADHWANI (NIGHT),EK TAL,BHAJ MAN NIT HARI KE NAAM,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 02,BHAJ MAN NIT HARI KE NAAM,,KOLKATA,,25-05-2015 12:35,26-05-2015 13:00,Manager,1,1,49,,
169,Sawani_bihag,IN-AIR-DSA-GT-M00-032556,14505-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY VIDUSHI SHANNO KHURANA,,,,,,Vocal, TABLA-   AKHTAR HASSAN   HARMONIUM-   REHMAN QURESHI  SARANGI-  PT. BHARAT BHUSHAN GOSWAMI,SAWANI BIHAG (NIGHT),JHAPTAL,JAANE AKAL SAB,,,,MADHYALAYA GAT,RAVIVARSARIYA AKHIL BHARATIYA SANGEET SABHA,,,,,,,CUT-02,,,,,24-07-2015 16:20,24-07-2015 16:20,Ingest,1,1,48,,
170,Hemant,IN-AIR-DSA-GT-M00-024540,12254-1-1.wav,"HINDUSTANI CLASSICAL VOCAL BY PT. GOKULOTSAV JI MAHARAJ, CUT- 01",,,PT. GOKULOTSAV JI MAHARAJ,,VOCAL RECITAL,," TABLA-  PT SADANAND NAYAMPALLI, TABLA-  PT SADANAND NAYAMPALLI",HEMANT (NIGHT),JHOOMRA,AI RI BEN BAJAYE,,,,,"AKASHWANI SANGEET SAMMELAN, OCTOBER- 2009 (SPECIAL PROGRMME OF MUSIC)",,,,,,,,,,DELHI,,08-06-2015 12:16,08-06-2015 12:16,Ingest,1,1,53,,
171,Hemant,IN-AIR-DSA-GT-M00-024312,12156-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY  DR. MOHAN KUMAR DAREKAR,,,DR. MOHAN KUMAR DAREKAR,,,Vocal," TABLA-  GOVIND PRASAD CHARKAVARTI,  SARANGI- SHAMINDRA PAL SINGH,  TANPURA- ANNU VERMA & SATVINDAR KAUR",HEMANT (NIGHT),JHOOMRA,KAHAN MAN LAGO TERO BALMWA,,,,,AKASHVANI SANGEET SAMMELAN- 2012 (SPECIAL PROGRAMME OF MUSIC),,,,,,,PART 01,KAHAN MAN LAGO TERO BALMWA,,JALANDHAR,,05-06-2015 12:42,05-06-2015 12:42,Ingest,1,1,64,,
172,Jaijaiwanti,IN-AIR-DSA-GT-M00-022195,8263-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY SMT. VIDYA KATGADE (TAAL-VILAMBIT JORA TAAL & MADHIYALAY  TEEN TAAL) PART 02,,,SMT. VIDYA KATGADE,,,Vocal,"TABLA-  SHRI MILIND POTEY,	  HARMONIUM-  CHAITANYA KUNTEY",JAIJAIWANTI (NIGHT),TEEN TAL,LARA MAI SAJAN DAMINI DAMKE,,,,,RAVIVASARIYA AKHIL BHARTIYA SANGEET SABHA,"TABLA-  SHRI MILIND POTEY,	  HARMONIUM-  CHAITANYA KUNTEY",,,,,,PART 02,,,,,11-02-2015 14:37,11-02-2015 14:37,Ingest,1,1,50,,
173,Kafi_kanada,IN-AIR-DSA-GT-M00-032352,13788-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY RAJSHEKHAR MANSOOR,RAJSHEKHAR MANSOOR (VOCAL),,,,,Vocal, TABLA-   PANDIT RAGHU NATH NAKOD  HARMONIUM-  D. KUMAR DAS  SARANGI-  FAIYAZ AHMED,KAFI KANADA (NIGHT),TEEN TAL,LAYE RE MADH PIRYA.,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,CUT-01,,,,,07-07-2015 12:36,07-07-2015 12:36,Ingest,1,1,55,,
174,Kaunsi_kanada,IN-AIR-DSA-GT-M00-040430,20978-1-1.wav,"HINDUSTANI CLASSICAL VOCAL BY VIDUSHI SHURUTI SADOLIKAR, PART- 02",,,VIDUSHI SHURUTI SADOLIKAR,,VOCAL RECITAL,Vocal," TABLA-  OMKAR GULVADI,   HARMONIUM-  ANANT JOSHI,  SARANGI- ANWAR HUSSAIN",KAUSHIK KANADA (NIGHT),TEEN TAL,"OLO MANARE, LALAN TUM BIN KON KARE",,,,VILAMBIT &DRUT GAT,,,,,,,,PART- 02,"OLO MANARE, LALAN TUM BIN KON KARE",HINDUSTANI CLASSICAL INSTRUMENTAL,MAHARASHTRA,,29-10-2015 15:26,29-10-2015 15:26,Ingest,1,1,64,,
175,Jaijaiwanti,IN-AIR-DSA-GT-M00-024605,12458-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY AMIT MUKHERJEE,,,AMIT MUKHERJEE,,VOCAL RECITAL,Vocal, TABLA-  SANDEEP KUMAR RAI CHAUDHARY   HARMONIUM-  SMT.RUPUSHREE BHATTACHARYA,JAIJAIWANTI (NIGHT),JHOOMRA,AI MAAI SAJANI NA AYE,,,,VILAMBIT &DRUT GAT,NATIONAL PROGRAMME OF MUSIC,,,,,,,,,,KOLKATA,,10-06-2015 14:37,10-06-2015 14:37,Ingest,1,1,85,,
176,Jaijaiwanti,IN-AIR-DSA-GT-M00-022137,8176-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY SUBHRA GUHA (TAAL-BILAMBIT IN EK TAAL & DRUT IN TEEN TAAL),,,SUBHRA GUHA,,,Vocal,TABLA- SAMAR SOHA  HARMONIUM-  RUPOSHI BHATTACHARYA,JAIJAIWANTI (NIGHT),TEEN TAL,PIYA HUM JAN GAYE RE NADAN ANKHIYA LAGI,,,,,RAVIVASARIYA AKHIL BHARTIYA SANGEET SABHA,TABLA- SAMAR SOHA  HARMONIUM-  RUPOSHI BHATTACHARYA,,,,,,,,,,,09-02-2015 10:58,09-02-2015 10:58,Ingest,1,1,87,,
