Audio_file,Raga Name,Tonic,Remarks,Artist Hindustani Music,Artist Others,Singer,Instrument,Vocals,Type,Accompanist,Raga,Tala,Bol,Gharana,Doha,Kaand,Compositions,Occasion,Participants,Director,Producer,Composer,Narrator,Lyricist,Episode,First Line of Song,Items,State / Region,Performers Conductor,Creation Date,Modification Date,Modified By,Track Count,Track Version Count,number of 30 second files
Bhairavi-15,Bhairavi,G#,"HINDUSTANI CLASSICAL VOCAL BY BAKUL CHATTOPADHYAY, CUT- 03",BAKUL CHATTOPADHAYA (VOCAL),,BAKUL CHATTOPADHYAY,,VOCAL RECITAL,Vocal," TABLA-   SUJIT SAHA  HARMONIUM-  RUPASHREE BHATTACHARYA, TANPURA-  MITA HALDAR",BHAIRAVI (MORNING),,CHALA RE PARDESIYA NAINA LAGAKE,,,,DADRA,NATIONAL PROGRAMME OF MUSIC,,,,,,,,,,KOLKATA,,11-06-2015 12:05,11-06-2015 12:05,Ingest,1,1,21
Bhairavi-2,Bhairavi,D#,HINDUSTANI CLASSICAL VOCAL BY PRABHAKR KASHYAP &  DIWAKAR KASHYAP PART 03,,,PRABHAKR KASHYAP &  DIWAKAR KASHYAP,,,Vocal Duet,"TABLA-  RAMDASS PARSULE,	  HARMONIUM-  CHAITANYA KUNTAY",BHAIRAVI (MORNING),,DHANY BHAG SEVA KA,,,,BHAJAN,RAVIVASARIYA AKHIL BHARTIYA SANGEET SABHA,"TABLA-  RAMDASS PARSULE,	  HARMONIUM-  CHAITANYA KUNTAY",,,,,,PART 03,,,,,10-02-2015 16:45,10-02-2015 16:45,Ingest,1,1,30
Gujri_todi-3,Gujri_todi,G#,HINDUSTANI CLASSICAL VOCAL BY RUMADEVI KALITA,,,RUMADEVI KALITA,,VOCAL RECITAL,Vocal," TABLA-  SUDIP SARKAR,  SARANGI-  SATVINDAR PAL SINGH,   HARMONIUM-  DINKAR SHARMA",GUJRI TODI (MORNING),EK TAL,JA JA RI PATITVA,,,,,AKASHVANI SANGEET SAMMELAN-2013,,,,,,,PART 02,JA JA RI PATITVA,,JAMMU & KASHMIR,,03-08-2015 12:52,03-08-2015 12:52,Ingest,1,1,57
Adana-3,Adana,C#,HINDUSTANI CLASSICAL VOCAL BY PT. YASHPAL,,,,,,Vocal,,ADANA (NIGHT),EK TAL,"SAHIB SULTAN SULTAN SURO KE, SAHIB AE KAMAAL JAMAAL.",,,,TARANA,,,,,,,,CUT-04,,,,,09-07-2015 15:51,09-07-2015 15:51,Ingest,1,1,7
Puriya_kalyan-3,Puriya_kalyan,C#,HINDUSTANI CLASSICAL VOCAL BY DEEPAK CHATTERJEE,,,,,,Vocal," TABLA-   PT. MANMOHAN,  HARMONIUM-  SH.JAI RAM",PURIYA KALYAN (EVENING),EK TAL,"AAJ SU BANNA BIHAVAN AAVO, MORE GHAR AAJA, BANKE PAPIYA BOLE PIYA PIYA.",,,,,RAVIVASARIYA AKHIL BHARATIYA SANGEET SABHA,,,,,,,CUT-01,,,,,06-07-2015 14:34,06-07-2015 14:34,Ingest,1,1,88
Bhairavi-9,Bhairavi,D,HINDUSTANI CLASSICAL VOCAL BY GANAPATI BHAT HASANGI PART 02,,,GANAPATI BHAT HASANGI,,,Vocal,"TABLA- PRASUN CHATTERJEE,  HARMONIUM- MOHAN MUNGRO",BHAIRAVI (MORNING),,CHAKO RANGE CHOKO BINA,,,,,AKASHVANI SANGEET SAMMELAN-2012,"TABLA- PRASUN CHATTERJEE,  HARMONIUM- MOHAN MUNGRO",,,,,,PART 02,,,BANGALORE,,09-02-2015 15:39,09-02-2015 15:39,Ingest,1,1,12
Bhairavi-4,Bhairavi,C#,HINDUSTANI CLASSICAL VOCAL BY USTAD SHAUKAT HUSSAIN KHAN,,,USTAD SHAUKAT HUSSAIN KHAN,,,Vocal," TABLA-   SHRI PRITHIVI RAJ MISHRA,  SARANGI-  ALLAH RAKKHA,   HARMONIUM-   RAJU KHANDELWAL",BHAIRAVI (MORNING),DADRA,,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 02,,,AHMEDABAD,,14-05-2015 12:57,14-05-2015 12:57,Ingest,1,1,14
Nand-1,Nand,E,HINDUSTANI CLASSICAL VOCAL BY RAM DESHPANDE,,,,,,Vocal, TABLA-   VISHWA NATH SHIRODKAR   HARMONIUM-   SMT SEEMA SHIRODKAR,NAND (NIGHT),TEEN TAL,AE BAARE SAIYYAN,,,,,RAVIVARSARIYA AKHIL BHARATIYA SANGEET SABHA,,,,,,,CUT-01,,,,,27-07-2015 16:18,27-07-2015 16:18,Ingest,1,1,82
Tilak_shyam-1,Tilak_shyam,D#,HINDUSTANI CLASSICAL VOCAL DUET BY RITESH & RAJNISH MISHRA,,,RITESH & RAJNISH MISHRA,,,Vocal Duet,"TABLA-  SHRI NAKUL MISHRA,  HARMONIUM-  AJAY JOGLEKAR",BHAJAN (ANYTIME),,AB TO SHYAM NAAM LOU LAGI,,,,,AAKASHVANI SANGEET SAMMELAN,,,,,,,PART 03,AB TO SHYAM NAAM LOU LAGI,,DELHI,,11-05-2015 11:29,11-05-2015 11:29,Ingest,1,1,21
Raysa_kanada-2,Raysa_kanada,C#,HINDUSTANI CLASSICAL VOCAL BY VIKAS KASHALKAR,,,,,,Vocal, TABLA-   BHARAT KAMAT  HARMONIUM-  SUYOG KUNDALKAR,RAISA KANADA (NIGHT),,"RE TUM SAMAJH SAMAJH NA UTH CHALAT PIYA, MAN MOHE LENE SHYAM SUNDAR.",,,,KHAYAL,NATIONAL PROGRAMME OF MUSIC,,,,,,,CUT-01,,,,,08-07-2015 15:54,08-07-2015 15:54,Ingest,1,1,63
Chayanat-5,Chayanat,E,HINDUSTANI CLASSICAL VOCAL BY SURESH BAPAT,,,,,,Vocal, TABLA-   AANEES PRADHAN  HARMONIUM-  SUDHIR NAYAK,CHAYANAT (NIGHT),TILWADA,"KARAT HO MOSE JHOOTI , PANAN BEEDI BANAYE KHAVAO, AE RE MALIYANA",,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,CUT-01,,,,,08-07-2015 15:16,08-07-2015 15:16,Ingest,1,1,79
Bageshri-1,Bageshri,D,HINDUSTANI CLASSICAL VOCAL BY SHANTANU BHATTACHARYA,,,,,,Vocal, TABLA-   SAMAR SAHA  HARMONIUM-  HIRANMAY MITRA  SARANGI-  RAMESH MISHRA,BAGESHRI (NIGHT),TEEN TAL,AE RI HUN MAIN KAISE KAR AAON,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,CUT-01,,,,,22-07-2015 15:03,22-07-2015 15:03,Ingest,1,1,92
Khamaj-1,Khamaj,A,HINDUSTANI CLASSICAL VOCAL BY MANJUSHA KULKARNI PATIL PART 03,,,MANJUSHA KULKARNI PATIL,,,Vocal,TABLA-  MILIND POTAY PIR PARAEI JANE NAHI,BHAJAN (ANYTIME),,PAYO JI MAINE,,,,,AKASHVANI SANGEET SAMMELAN-2012,TABLA-  MILIND POTAY PIR PARAEI JANE NAHI,,,,,,PART 03,PAYO JI MAINE,,,,04-02-2015 11:29,04-02-2015 11:29,Ingest,1,1,14
Bhairavi-14,Bhairavi,A,HINDUSTANI CLASSICAL VOCAL BY MANJU SHAH KULKARNI  PATIL,,,MANJU SHAH KULKARNI  PATIL,,,Vocal," TABLA-  VINOD GANGADHAR LELE, 	  HARMONIUM-  ZAMIR AHMED,  TANPURA- PUNITA BABA & SAVITA SHARMA",BHAJAN (ANYTIME),,ITNA TO KARNA SWAMI JAB PRAN TAN SE NIKLE,,,,BHAJAN,AKASHWANI SANGEET SAMMELAN 2009 (SPECIAL PROGRAMME OF MUSIC),,,,,,,PART 03,ITNA TO KARNA SWAMI JAB PRAN TAN SE NIKLE,,JALANDHAR,,08-06-2015 14:57,08-06-2015 14:57,Ingest,1,1,19
Charukeshi-2,Charukeshi,A#,HINDUSTANI CLASSICAL VOCAL BY VIDUSHI MANJARI ALEGAONKAR,,,VIDUSHI MANJARI ALEGAONKAR,,,Bhajan,"TABLA-  SANJAY KARALIKAR,  HARMONIUM-  SHUBAHANGI R BHAVSAR, TANPURA- KEDAR NATH & ASHOK KUMAR, MANJEERA- SWAPAN WISHWAS",BHAJAN (ANYTIME),,HEER NA SAMAJH BOOJH,,,,,AKASHWANI SANGEET SAMMELAN 2012 (SPECIAL PROGRAMME OF MUSIC),,,,SANT KABIR,,,PART 02,HEER NA SAMAJH BOOJH,,DELHI,,01-06-2015 12:47,01-06-2015 12:47,Ingest,1,1,19
Bhatiyar-2,Bhatiyar,A#,HINDUSTANI CLASSICAL VOCAL BY SMT. ANJANA NATH,,,SMT. ANJANA NATH,,,Vocal," TABLA-  MUKUND BHALE,   HARMONIUM-  SMT. RUPSHREE BHATTACHARYA",BHATIYAR (MORNING),EK TAL,UCHAT GAYEE MORI NEEND,,,,,AKASHWANI SANGEET SAMMELAN (SPECIAL PROGRAMME OF MUSIC),,,,,,,PART 01,UCHAT GAYEE MORI NEEND,,RAIPUR,,05-06-2015 12:30,05-06-2015 12:30,Ingest,1,1,70
Kafi_kanada-3,Kafi_kanada,C#,HINDUSTANI CLASSICAL VOCAL BY PT. YASHPAL,,,,,,Vocal,,KAFI KANADA (NIGHT),DRUT,DAAR DAAR PAAT PAAT.,,,,,SPECIAL RECORDING FOR AIR,,,,,,,PART-04,,,,,10-07-2015 10:57,10-07-2015 10:57,Ingest,1,1,5
Bhinna_shadaja-2,Bhinna_shadaja,G#,HINDUSTANI CLASSICAL VOCAL BY DR. KALYANI DESHMUKH,KALYANI DESHMUKH (VOCAL),,DR. KALYANI DESHMUKH,,,Vocal," TABLA-  SANDESH POPPATKAR,   HARMONIUM-  JAYRAM POTDAR,  TANPURA- RAJENDRAZOHRAPURKAR",BHINNA SHADAJA (NIGHT),ROOPAK,AI MORE BALAM,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 02,AI MORE BALAM,,NAGPUR,,21-05-2015 14:47,21-05-2015 14:47,Ingest,1,1,38
Bhinna_shadaja-3,Bhinna_shadaja,F,"HINDUSTANI CLASSICAL VOCAL BY GIRISH VAJHALVAR, CUT- 02",,,GIRISH VAJHALVAR,,VOCAL RECITAL,Vocal, TABLA-  MUKUND BHALE   HARMONIUM-  SHMSHAD AHMED,BHINNA SHADAJA (NIGHT),TEEN TAL,KIN BIRMAYE,,,,VILAMBIT &DRUT GAT,AKASHVANI SANGEET SAMMELAN- 2009 (SPECIAL PROGRAMME OF MUSIC),,,,,,,,,,PATNA,,10-06-2015 12:55,10-06-2015 12:55,Ingest,1,1,40
Bhopali-8,Bhopali,A,HINDUSTANI CLASSICAL VOCAL BY NEELAKSHI JUVEKAR,,,,,,Vocal, TABLA-   OMKAR GULVADI   HARMONIUM-   AANANT JOSHI,BHOOP (NIGHT),EK TAL,LALAN KE SANGH,,,,,RAVIVARSARIYA AKHIL BHARATIYA SANGEET SABHA,,,,,,,CUT-01,,,,,24-07-2015 15:46,24-07-2015 15:46,Ingest,1,1,62
Bhopali-6,Bhopali,E,HINDUSTANI CLASSICAL VOCAL BY PT. MADHAV INGALE,MADHAV INGLE (VOCAL),,PT. MADHAV INGALE,,,Vocal,"TABLA-  RAM DASS PARSULE 	  HARMONIUM-  SANJAY GOKTE,  VIOLIN-   PT. RATNAKR GOKHLE",BHOOP (NIGHT),EK TAL,JAB MAIN JAANI TIHARI BAAT,,,,,RAVIVASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,PART 01,JAB MAIN JAANI TIHARI BAAT,,PUNE,,11-05-2015 14:36,11-05-2015 14:36,Ingest,1,1,60
Bihag-2,Bihag,C#,HINDUSTANI CLASSICAL VOCAL BY USTAD SHAUKAT HUSSAIN KHAN,,,,,,Vocal, TABLA-    NANDAN MEHTA   HARMONIUM-   RAJU GANDHARVA  SARANGI-  IKRAM KHAN,BIHAG (NIGHT),EK TAL,"DHAN DHAN RI AERI TERO LADALA,",,,,,RAVIVARSARIYA AKHIL BHARATIYA SANGEET SABHA,,,,,,,CUT-01,,,,,27-07-2015 11:28,27-07-2015 11:28,Ingest,1,1,108
Bhopali-9,Bhopali,C#,HINDUSTANI CLASSICAL VOCAL BY BALDEV SHARAN NARANG (TAAL-VILAMBIT  KHYAL  IN EK TAAL & DRUT IN TEEN TAAL) PART 03,,,BALDEV SHARAN NARANG,,,Vocal,"TABLA-  SHRI KALE RAM,  SARANGI-  SHEMANDER PAL SINGH",BHOPALI (NIGHT),TEEN TAL,MORI SUDH LI JO DATTA SHYAM MAAN MORI,,,,,RAVIVASURIYA AKHIL BHRTIYA SANGEET SHABHA,"TABLA-  SHRI KALE RAM,  SARANGI-  SHEMANDER PAL SINGH",,,,,,PART 03,,,,,04-02-2015 15:39,04-02-2015 15:39,Ingest,1,1,52
Bhopali-5,Bhopali,C#,"HINDUSTANI CLASSICAL VOCAL BY PT. RAMCHATUR MALLIK, CUT- 01",RAM CHATUR MALLICK (Pundit) (VOCAL),,PT. RAMCHATRU MALLICK,,VOCAL RECITAL,Vocal," SARANGI- PT. INDER LAL DHANDHRA, PAKHAWAJ &  TABLA-  PT. RAM ASHISH PATHAK",BHOPALI (NIGHT),CHAUTAL,,,,,AALAP,RAVI VASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,,,,DELHI,,03-06-2015 12:47,03-06-2015 12:47,Ingest,1,1,54
Bhopali-3,Bhopali,A#,"HINDUSTANI CLASSICAL VOCAL BY VIDUSHI SUMITRA GUHA, CUT- 01",SUMITRA GUHA (VOCAL),,VIDUSHI SUMITRA GUHA,,VOCAL RECITAL,Vocal, TABLA-   SHRI. MITHILESH JHA   HARMONIUM-   MEHMOOD DHAUL PURI  SARANGI-  PT. BHARAT BHUSHAN GOSWAMI,BHOPALI (NIGHT),EK TAL,AAJ GHNSHYAM AYE,,,,VILAMBIT &DRUT GAT,RAVI VASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,,,,DELHI,,11-06-2015 12:13,11-06-2015 12:13,Ingest,1,1,60
Bihag-3,Bihag,C#,HINDUSTANI CLASSICAL VOCAL BY VIKAS KASHALKAR,,,,,,Vocal, TABLA-   BHARAT KAMAT  HARMONIUM-  SUYOG KUNDALKAR,BIHAG (NIGHT),,"TUM BIN CHAIN NAHIN AAVAT, ULJI SULAJHA JA RE BALAM.",,,,KHAYAL,NATIONAL PROGRAMME OF MUSIC,,,,,,,CUT-01,,,,,08-07-2015 15:43,08-07-2015 15:43,Ingest,1,1,86
Bhopali-1,Bhopali,A#,HINDUSTANI CLASSICAL VOCAL BY MEETA PANDIT,,,MEETA  PANDIT,,,Vocal," TABLA-  USTAD MOHD. AKRAM KHAN,   HARMONIUM-  SUDHIR YARDI",BHOPALI (NIGHT),EK TAL,JAB HI SAB NIRUPTA NEERAS BHAE,,,,,AKASHVANI SANGEET SAMMELAN- 2012 (SPECIAL PROGRAMME OF MUSIC),,,,,,,PART 01,JAB HI SAB NIRUPTA NEERAS BHAE,,KOLKATA,,04-06-2015 11:30,04-06-2015 11:30,Ingest,1,1,117
Bhairavi-11,Bhairavi,D#,HINDUSTANI CLASSICAL VOCAL BY CHANDRA SHEKHAR VAJHE,,,,,,Vocal, TABLA-   MUKUND RAJ DEV   HARMONIUM-  SRINIVAS ACHARYA,BHAIRAVI (MORNING),TEEN TAL,KAISI YEH BHALAI RE KANAHAI.,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,CUT-02,,,,,22-07-2015 15:47,22-07-2015 15:47,Ingest,1,1,12
Des-4,Des,C,HINDUSTANI CLASSICAL VOCAL BY PT. MANI PRASAD,MANI PRASAD (VOCAL),,PT. MANI PRASAD,,VOCAL RECITAL,Vocal,TABLA-  KUMAR PANDIT   HARMONIUM-  DEEPAK PRASAD VOCAL SUPPORT- LALEET PRASAD,DES (NIGHT),TEEN TAL,SAWAN JHAR LAGEE MORE PIYA NAHI MORE PAAS,,,,MADHYALAYA GAT,AKASHVANI SANGEET SAMMELAN-2013,,,,,,,PART 03,SAWAN JHAR LAGEE MORE PIYA NAHI MORE PAAS,,CHATTISGARH,,31-07-2015 14:38,31-07-2015 14:38,Ingest,1,1,25
Des-1,Des,D#,HINDUSTANI CLASSICAL VOCAL BY MUJ.,,,MUJAHID HUSSAIN KHAN,,VOCAL RECITAL,Vocal,"TABLA- PRADEEP SARKAR, SARANGI- LIYQAT ALI KHAN, HARMONIUM- ZAMIR KHAN",DES (NIGHT),,,,,,TARANA,AKASHWANI SNGEET  SAMMELAN,,,,,,,,,,GUJRAT,,06-08-2015 11:45,06-08-2015 11:45,Ingest,1,1,26
Bihag-12,Bihag,C#,"HINDUSTANI CLASSICAL VOCAL BY ASLAM KHAN, PART- 01",ASLAM HUSSAIN KHAN (VOCAL),,ASLAM HUSSAIN KHAN,,,Vocal," TABLA-  ANISH PRADHAN,   HARMONIUM-  SUDHIR NAYAK",BIHAG (NIGHT),EK TAL,HE DAVAN DEV MAHADEV,,,,,RAVIVASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,PART 01,HE DAVAN DEV MAHADEV,,MUMBAI,,07-05-2015 15:00,07-05-2015 15:00,Ingest,1,1,44
Bihag-10,Bihag,D,HINDUSTANI CLASSICAL VOCAL BY ARSQ,,,ARSHAD ALI KHAN,,,Vocal," TABLA-  USTAD MOHD.  AKRAM KHAN,  SARANGI- MURAD ALI KHAN",BIHAG (NIGHT),JHAPTAL,CHINTA NA KAR RE,,,,,RAVIVASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,PART 01,CHINTA NA KAR RE,,DELHI,,21-05-2015 15:21,21-05-2015 15:21,Ingest,1,1,44
Aheer_bhairav-1,Aheer_bhairav,D,HINDUSTANI CLASSICAL VOCAL BY RAJENDRA KANDALGOANKAR,,,RAJENDRA KANDALGOANKAR,,VOCAL RECITAL,Vocal," TABLA-   KESHAV JOSHI,  TANPURA-  PANKAJ SHARMA",AHEER BHAIRAV (MORNING),,,,,,,AKASHVANI SANGEET SAMMELAN-2013,,,,,,,PART 02,,,ASSAM,,04-08-2015 14:43,04-08-2015 14:43,Ingest,1,1,49
Bihag-9,Bihag,C#,"HINDUSTANI CLASSICAL VOCAL BY DR.DAMODAR HOTA , CUT- 01",DAMODAR HOTA (VOCAL),,DR.DAMODAR HOTA,,VOCAL RECITAL,Vocal,TABLA-  PT. UMESH CHANDRAKAR  HARMONIUM-  SHRI SANATAN GOSWAMI,BIHAG (NIGHT),EK TAL,O MAI AAJ,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,,,,DELHI,,04-06-2015 14:43,04-06-2015 14:43,Ingest,1,1,55
Bihag-11,Bihag,D,HINDUSTANI CLASSICAL VOCAL BY L. K .PANDIT,L. K. PANDIT (VOCAL),,,,,Vocal,,BIHAG (NIGHT),TILWADA,KAISE SUKH SOVE.,,,,,SPECIAL RECORDING FOR AIR ARCHIVES.,,,,,,,CUT-06,,,,,14-07-2015 11:01,14-07-2015 11:01,Ingest,1,1,10
Durga-1,Durga,G#,"HINDUSTANI CLASSICAL VOCAL BY PADMA TALWALKAR, CUT- 01",PADMA TALWALKAR (VOCAL),,PADMA TALWALKAR,,VOCAL RECITAL,Vocal, TABLA-  ONKAR GULVADI   HARMONIUM-   SUDHIR NAIK,DURGA (NIGHT),JHAPTAL,SAKHI MORI RUMJHUM,,,,VILAMBIT &DRUT GAT,RAVI VASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,,,,MUMBAI,,24-06-2015 11:29,24-06-2015 11:29,Ingest,1,1,59
Bihag-7,Bihag,D#,HINDUSTANI CLASSICAL VOCAL BY RITESH MISHRA & RAJNISH MISHRA,,,,,,Vocal Duet," TABLA-   SHAILENDRA MISHRA, HARMONIUM-   VINAY MISHRA, TANPURA-  ANSHUMATI & PARAMJIT KAUR",  ,EK TAL,,,,,,AKASHVANI SANGEET SAMMELAN - 2012,,,,,,,CUT-01,,,,,09-09-2015 11:11,09-09-2015 11:11,Ingest,1,1,112
Jog_kauns-4,Jog_kauns,G#,HINDUSTANI CLASSICAL VOCAL BY MANGLA JOSHI,,,,,,Vocal, TABLA-   MANMOHAN KUMARE  HARMONIUM-  TUKA RAM DUGGAD,JOG KAUNS (NIGHT),EK TAL,SUGHAR BHAR PAYO,,,,,RAVIVARSARIYA AKHIL BHARATIYA SANGEET SABHA,,,,,,,CUT-02,,,,,27-07-2015 15:33,27-07-2015 15:33,Ingest,1,1,68
Bihag-8,Bihag,E,HINDUSTANI CLASSICAL VOCAL BY HARISHIKESH BODAS,,,HARISHIKESH BODAS,,,Vocal," TABLA-  MANMOHAN KUMBHARE,   HARMONIUM-  CHINMAYA, KOLHATKAR,  TANPURA- MANGALA JOSHI",BIHAG (NIGHT),TILWADA,KAISE SUKH SOVE NINDARYA,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 01,KAISE SUKH SOVE NINDARYA,,SANGLI,,20-05-2015 12:39,20-05-2015 12:39,Ingest,1,1,58
Bihag-5,Bihag,D,HINDUSTANI CLASSICAL VOCAL BY SANDEEP BHATTACHARYA,,,SANDEEP BHATTACHARYA,,,Vocal," TABLA-  SANDEEP KUMAR ROY CHOUDHARY,   HARMONIUM-  RUPA SHREE BHATTACHARYA,  SARANGI- SARWAR HUSSAIN,  TANPURA-  RATHINDRANATH CHATTER",BIHAG (NIGHT),EK TAL,KAISE SUKH SOVE,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 01,KAISE SUKH SOVE,,KOLKATA,,01-06-2015 13:02,01-06-2015 13:02,Ingest,1,1,81
Malgunji-1,Malgunji,E,HINDUSTANI CLASSICAL VOCAL BY RAM DESHPANDE,,,,,,, TABLA-   VISHWA NATH SHIRODKAR    HARMONIUM-   SMT. SEEMA SHIRODKAR,MALGUNJI (AFTERNOON),TILWADA,BAN MAIN CHARAWAT GAIYAN,,,,,RAVIVARSARIYA AKHIL BHARATIYA SANGEET SABHA,,,,,,,CUT-01,,,,,28-07-2015 11:04,28-07-2015 11:04,Ingest,1,1,86
Bihag-4,Bihag,G#,HINDUSTANI CLASSICAL VOCAL BY VIDUSHI SHUBHADA PARADKAR (TAAL-TILWADA TAAL & DRUT TAAL) PART 01,,,VIDUSHI SHUBHADA PARADKAR,,,Vocal," VIOLIN-  MILIND AAYNGKAR, TABLA-  SAROD DATTA TRIYE GOPTE,  HARMONIUM-  GIRISH GOSWAMY, TANPURA- ANGLI JOSHI &  SHANEL ABHANKAR",BIHAG (NIGHT),DRUT,AARE MAA DHAN DHAN RE ABHUL LAGAN MAYKA,,,,,NATIONAL PROG. OF MUSIC," VIOLIN-  MILIND AAYNGKAR, TABLA-  SAROD DATTA TRIYE GOPTE,  HARMONIUM-  GIRISH GOSWAMY, TANPURA- ANGLI JOSHI &  SHANEL ABHANKAR",,,,,,PART 01,,,AURANGABAD,,10-02-2015 11:31,10-02-2015 11:31,Ingest,1,1,94
Khamaj-11,Khamaj,D,HINDUSTANI CLASSICAL VOCAL BY MOHAN KUMAR DAREKAR,,,MOHAN KUMAR DAREKAR,,VOCAL RECITAL,Vocal," TABLA-   ARVIND KUMAR AZAD,   HARMONIUM-   SUBHASH DASAKKAR",KHAMAJ (NIGHT),ADA TEENTAL,,,,,,AKASHVANI SANGEET SAMMELAN,,,,,,,PART 02,,,TAMILNADU,,04-08-2015 12:30,04-08-2015 12:30,Ingest,1,1,20
Bihagda-2,Bihagda,A,HINDUSTANI CLASSICAL VOCAL BY NISHA PARASNIS,,,NISHA PARASNIS,,,Vocal,"TABLA-  ONKAR GULWARI,  HARMONIUM-  NIRANJAN LELE",BIHAGDA (NIGHT),JHAPTAL,MOHE JAANE DE,,,,,RAVIVASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,PART 01,MOHE JAANE DE,,MUMBAI,,16-06-2015 12:33,16-06-2015 12:33,Ingest,1,1,41
Bihagda-1,Bihagda,A,HINDUSTANI CLASSICAL VOCAL BY SADHANA DESMUKH MOHITE,,,SADHANA DESMUKHI MOHITE,,,Vocal,"TABLA-  ANANTH MASORKAR,  HARMONIUM-  SHRI MAHESH DUTT PANDAY",BIHAGDA (NIGHT),TEEN TAL,PYARI PAG HOLE DHAR,,,,VILAMBIT &DRUT GAT,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 01,PYARI PAG HOLE DHAR,,DELHI,,12-05-2015 14:11,12-05-2015 14:11,Ingest,1,1,57
Bihagda-4,Bihagda,G#,HINDUSTANI CLASSICAL VOCAL BY SHRUTI SADOLIKAR,SHRUTI SADOLIKAR (VOCAL),,SHRUTI SADOLIKAR,,VOCAL RECITAL,Vocal," TABLA-   RAVINATH MISHRA,   HARMONIUM-   MOHAN MUNGRE,  SARANGI-  VINOD KUMAR MISHRA",BIHAGDA (NIGHT),TEEN TAL,PYARI PAG HOLE - HOLE,,,,VILAMBIT &DRUT GAT,AKASHVANI SANGEET SAMMELAN-2013,,,,,,,PART 01,PYARI PAG HOLE - HOLE,,MADHYA PRADESH,,04-08-2015 11:51,04-08-2015 11:51,Ingest,1,1,76
Bihari-2,Bihari,G#,HINDUSTANI CLASSICAL VOCAL BY SHRUTI SADOLIKAR,SHRUTI SADOLIKAR (VOCAL),,SHRUTI SADOLIKAR,,VOCAL RECITAL,Vocal, TABLA-   SHRI DEEPAK GARUD- INDORE   HARMONIUM-  SHRI MOHAN MOONGRE-INDORE  SARANGI-  SHRI ANWAR HUSSIAN-STAFF-MUMBAI,BIHARI (NIGHT),ROOPAK,AI HO NEEND NA AYE,,,,MADHYALAYA GAT,AKASHVANI SANGEET SAMMELAN-2009,,,,,,,,,,INDORE,,10-06-2015 15:52,10-06-2015 15:52,Ingest,1,1,35
Kafi_kanada-2,Kafi_kanada,C#,HINDUSTANI CLASSICAL VOCAL BY PT. YASHPAL,,,,,,Vocal,,KAFI KANADA (NIGHT),TEEN TAL,MADHURA BHAR LAYE RE.,,,,,SPECIAL RECORDING FOR AIR,,,,,,,CUT-03,,,,,10-07-2015 10:54,10-07-2015 10:54,Ingest,1,1,7
Jaunpuri-4,Jaunpuri,C#,HINDUSTANI CLASSICAL VOCAL BY PT. YASHPAL,,,,,,Vocal,,JAUNPURI (MORNING),,PANGHAT KI BAAT MEIN JAAT.,,,,,,,,,,,,CUT-01,,,,,09-07-2015 16:43,09-07-2015 16:43,Ingest,1,1,9
Chandrakauns (Bhairavi_ang)-2,Chandrakauns (Bhairavi_ang),A,HINDUSTANI CLASSICAL VOCAL BY NISHA PARASNIS,,,NISHA PARASNIS,,,Vocal,"TABLA-  ONKAR GULWARI,  HARMONIUM-  NIRANJAN LELE",CHANDRAKAUNS (NIGHT),TEEN TAL,LADI BANA BAN AAYA,,,,DRUT GAT,RAVIVASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,PART 02,LADI BANA BAN AAYA,,MUMBAI,,16-06-2015 12:37,16-06-2015 12:37,Ingest,1,1,27
Charukeshi-1,Charukeshi,A,HINDUSTANI CLASSICAL VOCAL BY VIRAJ AMAR,,,,,,Vocal, TABLA-   NAKUL MISHRA  VIOLIN-   RAFIQ KHAN  HARMONIUM-  SHISHIR BHATT,CHARUKESHI (MORNING),,,,,,,RAVIVASARIYA AKHIL BHARATIYA SANGEET SABHA,,,,,,,CUT-01,,,,,06-07-2015 15:54,06-07-2015 15:54,Ingest,1,1,22
